                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.2043,                0.89418,                 1.6342,                0.95991,                 0.9706,                0.95987,                0.72901,                0.95876,                0.53795,                 1.3069,              0.0004258,              0.0004258,              0.0004258
                     61,                 1.2117,                0.90443,                 1.6402,                0.96131,                0.96844,                0.96339,                0.73423,                0.93288,                0.51147,                 1.2794,              0.0004159,              0.0004159,              0.0004159
                     62,                 1.1917,                0.90505,                 1.6216,                0.96259,                0.96848,                0.96351,                0.73282,                 0.9559,                0.51996,                 1.2962,               0.000406,               0.000406,               0.000406
                     63,                 1.2005,                0.88866,                 1.6268,                0.94736,                0.96655,                0.96005,                0.71994,                0.96558,                0.53778,                 1.3333,              0.0003961,              0.0003961,              0.0003961
                     64,                 1.1981,                0.88869,                 1.6207,                0.95866,                0.97189,                0.95935,                0.73455,                0.94704,                0.50538,                 1.2868,              0.0003862,              0.0003862,              0.0003862
                     65,                 1.1971,                0.87843,                 1.6244,                0.96289,                0.96943,                0.96443,                0.73414,                0.93835,                0.51486,                 1.2813,              0.0003763,              0.0003763,              0.0003763
                     66,                 1.1843,                0.88887,                 1.6113,                0.96362,                 0.9664,                0.96072,                0.72218,                 0.9489,                0.51581,                 1.3114,              0.0003664,              0.0003664,              0.0003664
                     67,                 1.1731,                0.87907,                 1.5991,                0.96004,                0.96305,                 0.9605,                0.73704,                0.93229,                0.52401,                 1.2758,              0.0003565,              0.0003565,              0.0003565
                     68,                 1.1763,                0.86957,                 1.6007,                0.96129,                0.96178,                0.96144,                0.72993,                0.93695,                0.50759,                 1.2738,              0.0003466,              0.0003466,              0.0003466
                     69,                 1.1723,                0.87905,                    1.6,                0.96376,                0.97201,                0.96212,                0.73608,                0.94874,                 0.4981,                 1.2934,              0.0003367,              0.0003367,              0.0003367
                     70,                 1.1748,                0.86264,                 1.5989,                0.96206,                0.97082,                0.96278,                0.73617,                0.94515,                0.51075,                 1.2918,              0.0003268,              0.0003268,              0.0003268
                     71,                 1.1572,                0.86053,                 1.5836,                0.96263,                0.96852,                0.96163,                0.72488,                0.96614,                0.51451,                 1.3191,              0.0003169,              0.0003169,              0.0003169
                     72,                 1.1701,                0.85517,                 1.5936,                0.96257,                0.96376,                0.96015,                 0.7263,                0.94849,                0.51844,                 1.2995,               0.000307,               0.000307,               0.000307
                     73,                  1.153,                 0.8629,                 1.5839,                0.96371,                0.96841,                0.96323,                0.73177,                0.95001,                0.49579,                 1.3116,              0.0002971,              0.0002971,              0.0002971
                     74,                 1.1587,                0.84897,                 1.5802,                0.96082,                0.96655,                0.96162,                0.73404,                0.94344,                0.49765,                 1.2783,              0.0002872,              0.0002872,              0.0002872
